hastalık,nedir,belirtiler
Depresyon,"Depresyon, bir kişinin uzun süre üzüntü hissetmesi ile kendini gösteren bir zihinsel sağlık problemidir. Depresif kişi önceden yapmaktan zevk aldığı aktivitelere karşı ilgisini kaybeder. Ayrıca düşünme, hafıza, yemek yeme ve uyku gibi günlük hayatı oluşturan eylemlerde zorluklar yaşayabilir.","Depresyon belirtilerikarmaşık olabilir ve kişiden kişiye büyük değişiklik gösterebilir. Bazı vakalarda semptomlar, haftalarca veya aylarca devam eder ve kişinin işini, sosyal yaşamını ve aile yaşamını etkileyecek kadar kötü hale gelebilir. Depresyonun birçok belirtisi vardır.Bu belirtiler aşağıda sıralandığı gibi ortaya çıkabilir: Ruh halinin sürekli düşük olması veya mutsuz olma,Kişinin kendini umutsuz ve çaresiz hissetmesi,Özgüvenin düşmesi,Sürekli olarak ağlamaklı hissetme,Suçluluk duygusu,Başkalarına karşı sinirli olma ve hoşgörüsüz hissetme,Motivasyon ya da ilgi kaybı,Karar almanın zorlaşması,Kişinin hayattan hiç zevk alamaması,Endişeli hissetme,Kişinin intihar veya kendine zarar verme düşüncelerinin olması.Depresyonun belirtileri fiziksel olabilir:Kişinin normalden daha yavaş hareket etmesi ya da konuşması,İştah ve kiloda değişiklikler,Kabızlık,Açıklanamayan ağrıların varlığı,Kişinin enerjisinde eksiklik,Cinsel dürtünün azalması (libido kaybı),Uyku bozuklukları.Depresyonun belirtileri sosyal olabilir:Kişinin arkadaşlarıyla temastan kaçınması,Sosyal aktivitelere daha az katılım,Hobilerin ve ilgi alanlarının ihmal edilmesi,Kişinin evinde, işinde veya aile hayatında zorluklar yaşaması."
Dış Kulak İltihabı,"Dış kulak, kulağın görünen kısmı olan kulak kepçesi ve dış kulak kanalını içeren anatomik bir yapıdır. Bu yapı içerisindeki dış kulak kanalı, kulak zarından kulak kepçesine kadar uzanır ve alınan ses dalgalarını kulak zarına ulaştırır.Kulak iltihabı, bu anatomik bölgede bakteri, virüs veya mantarların birikmesi sonucu oluşan enfeksiyonlardır. Bu enfeksiyonlar, çoğunlukla kızarıklık, ağrı ve akıntıya neden olabilirler.","Dış kulak yolunun iltihaplanması, bazı belirtilerle kendini gösterebilir.Dış kulak iltihabı belirtileriarasında öncelikle kulakta ağrı ve rahatsızlık hissi bulunur. Kaşıntı, kulak kepçesinde veya dış kulak yolunda oluşan kızarıklık, şişlik de sıkça gözlemlenen belirtiler arasındadır. Kulakta artan bir hassasiyet hissi ve dokunmaya karşı duyarlılık da dış kulak yolunun iltihaplanmasının belirtileri arasında yer alır. Ayrıca, sarı, yeşil veya kanlıkulak akıntısı, işitme kaybı ve kulak çınlaması gibi semptomlar da görülebilir. Dış kulak yolunda oluşan bukulak iltihabı belirtilerigenellikle hafif ilâ orta şiddette olup, erken aşamada tedavi edilirse komplikasyon riski azalabilir. Doktor, hastanın öyküsünü dinledikten sonra kulak içini muayene ederek iltihabın şiddetini ve türünü belirler. Gerekirse, kulak içinden örnek alınarak mikrobiyolojik bir inceleme yapılabilir. Su Temasının Sınırlanması: Su teması dış kulak iltihabını tetikleyebilir, bu nedenle hastaya su temasını azaltılması önerilir. Yüzme veya duş almanın ardından kulak içinde biriken suyun temizlenmesi faydalı olabilir.Hijyen: Doktor kontrolünde kulak içinde biriken kirlerin temizlenmesi, iltihaplanmanın hafifletilmesine yardımcı olabilir.Antibiyotik veya Antifungal Damlalar: Doktor tarafından tedavi içinkulak damlasıreçete edilebilir. Bakteriyel kaynaklıkulak iltihabında siprogutveya benzeri antibiyotik damlalar, mantar kaynaklı iltihaplanmalarda ise antifungal damlalar verilebilir.Antibiyotikli kulak damlasıenfeksiyonu doğrudan hedef alarak tedaviye katkı sağlayabilir.Oral Antibiyotik veya Antifungal İlaçlar: Şiddetli veya yaygın enfeksiyonlarda doktor, oral yolla alınan antibiyotik veya antifungal ilaçlar önerebilir. Bu ilaçlar, vücut geneline etki ederek iltihabın kontrol altına alınmasına yardımcı olur.Ağrı Kesiciler ve Antiinflamatuar İlaçlar: Doktor kontrolünde ağrı ve inflamasyonun hafifletilmesi için ağrı kesiciler veya antiinflamatuar ilaçlar kullanılabilir.Soğuk veya Sıcak Uygulama Yöntemleri: İltihaplı bölgeye uygulanan bu yöntem, ağrı ve rahatsızlık hissini hafifletebilir."
Disk Kayması,"Disk kayması tıptaki literatürde ""intervertebral disk kayması"" olarak da bilinir ve omurgada yer alan omurilik segmentleri arasındaki disklerin (intervertebral disklerin) normal yerleşiminden sapması anlamına gelir. Omurlar arasında bulunan bu diskler, omurganın esnekliğini sağlarlar. Disk kayması, disklerin yer değiştirmesi veya sıkışması sonucu ortaya çıkan bir durumdur.","Disk kayması belirtileri, omurgada gerçekleştiği yere göre farklılık gösterir. Sırt Ağrısı: Sırt bölgesinde yaygın veya belirli bir noktada hissedilen ağrı.Nefes Darlığı: Disk kayması torasik (sırt) bölgede meydana gelirse, omurilik sinirlerine baskı yapabilir ve nefes darlığına neden olabilir."
Diş Ağrısı,"Diş ağrısı, dişin içinde veya çevresinde hissedilen keskin, donuk veya zonklayan bir ağrıdır. Diş ağrısının en yaygın nedeni, diş çürümesidir.Diş çürümesi, dişin mine tabakasının bakteriler tarafından parçalanması sonucu oluşur. Bu durum, dişin iç kısmında bulunan pulpa adlı dokuya zarar verebilir ve ağrıya neden olabilir. Diş ağrısı, günlük hayatı olumsuz etkileyen bir durumdur. Ağrı, yemek yemeyi, konuşmayı ve uyumayı zorlaştırabilir.","Diş ağrısı, çeşitli nedenlerle ortaya çıkabilir. Diş ağrısı belirtileri şunlar olabilir: Keskin veya batıcı ağrı, sıcak veya soğuk yiyeceklerin tüketimi sırasında artan hassasiyet, diş eti şişliği, ağızda kötü tat veya kokuya neden olan enfeksiyon, çiğneme veya diş fırçalama sırasında artan ağrı veya rahatsızlık, dişte renk değişiklikleri veya çatlaklar. Eğer diş ağrısı yaşıyorsanız, bir diş hekimine danışmanız önemlidir çünkü altta yatan sorunun teşhis edilip tedavi edilmesi gerekebilir. Diş Kaşıyıcıları:Bebekler için tasarlanmış diş kaşıyıcıları diş etlerini rahatlatmaya yardımcı olabilir. Bu kaşıyıcılar özellikle çocuklar için sorulan “Diş ağrısı nasıl geçer evde?” sorusuna yanıt olarak verilebilecek bir seçenektir. Bu kaşıyıcıları dondurup soğutarak diş etlerine uygulamak ağrıyı hafifletmeye yardımcı olabilir.Bebek Ağrı Kesicileri:Bebekler için özel olarak formüle edilmiş ağrı kesiciler, diş ağrısını hafifletebilir. Fakat bu tür ilaçları kullanmadan önce bir sağlık profesyoneli veya çocuk doktoru ile görüşmek önemlidir.Diş Temizliği ve Dolgu:Özellikle çocuklar diş çürükleri nedeniyle oluşan ağrılar, diş hekimi tarafından temizlenir ve dolgu uygulanır.Diş Çıkarma:Süt dişleri doğal olarak dökülmeye başladığında veya kalıcı dişler çıkarken diş hekimi tarafından gerektiğinde diş çıkarma işlemi yapılabilir."
Diş Çürüğü,Diş çürüğüdişlerin yüzeyinde bulunan mine tabakasının zamanla erozyona uğradığı ve bu süreçte dişin yüzeyinde boşlukların oluştuğu bir ağız sağlığı sorunudur. Bu durum özellikle ağızda bulunan bakterilerin şekerleri sindirerek ürettikleri asitler sonucu meydana gelir. Bu asitler diş minesini çözerek mine aşınmasına yol açar.,
Diş Eti Çekilmesi,"Diş eti çekilmesi, diş etlerinin aşınması veya geri çekilmesi ile dişin daha fazla ortaya çıktığı diş eti hastalığıdır. Diş etlerinin aşınması veya boşluk oluşturması bu kısımlarda bakteri birikiminin artmasına neden olur. Bu durumda dişler bakterilere ve iltihaplanmaya daha savunmasız hale gelir. Diş çürükleri, diş kayıpları veya hassas dişler oluşabilir. Diş eti çekilmesi durumunda bir veya birden fazla diş etkilenebilir. Diş etlerinin geri çekilmesi dişlerin korunurluğunu azaltabilir ve günlük yaşamı olumsuz yönde etkileyebilir. Diş fırçalamak, diş ipi kullanmak ve yemek yemek acı verici ve rahatsız edici bir hale gelebilir. Diş eti çekilmeleri hafif veya şiddetli olabilir ve tedavi edilmediğinde dişler, dişlerin destek dokuları ve çene kemiği zarar görebilir.","Diş eti çekilmeleri genellikle fark edilebilir bir problemdir ancak bazı durumlarda geç teşhis edilebilir. Bu belirtiler hafif olabileceği gibi şiddetli de olabilir. Yaygın olarak görülen diş eti çekilmesi semptomları şu şekilde verilebilir: Dişlerin olduğundan uzun görünmesi,Açığa çıkan diş kökleri,Diş temizliği esnasında hassasiyet,Diş fırçalarken ve diş ipi kullanırken kanama,Soğuk, sıcak ve şekere karşı hassasiyet,Diş eti hattında ağrı veya gerginlik hissi,Diş köklerinin gevşemesi."
Diş Eti Şişmesi,"Diş eti, dişlerin etrafındaki yumuşak dokuların oluşturduğu bir yapıdır. Genellikle pembe renkte olan diş etleri, dişlerin etrafını sararak diş köklerini korur ve destekler. Sağlıklı diş etleri, sıkı, pürüzsüz ve pembe bir görünüme sahiptir. Diş etleri aynı zamanda plak ve bakterilerle mücadele ederek ağız sağlığını korumada önemli bir rol oynar. Diş eti şişmesi, genellikle diş etlerinin iltihaplanması sonucu ortaya çıkan bir durumdur.",Diş eti şişmesi çoğunlukla ağız sağlığı sorunları nedeni ile meydana gelen ve rahatsızlık veren bir durumdur. Diş eti şişmesinin yaygın belirtileri şunlardır: Şişme ve KızarıklıkKanamaAğrı veya HassasiyetKötü NefesDiş Eti Çekilmesi
Diyabet (Şeker Hastalığı),,"Diyabetin belirtileri, kan şekeri seviyelerinin yükselmesi nedeniyle vücutta ortaya çıkan değişikliklerdir. Bu belirtiler, diyabetin türüne (Tip 1, Tip 2 veya gestasyonel diyabet) göre farklılık gösterebilir. Erken dönemde belirgin olmayabilirler, ancak ilerledikçe daha belirgin hale gelirler. Aşırı susama:Sürekli su içme ihtiyacı hissedersiniz.Sık idrara çıkma:Özellikle geceleri daha sık tuvalete çıkarsınız.Ani kilo kaybı:İştahınız normal olmasına rağmen kilo verirsiniz.Yorgunluk:Halsizlik ve bitkinlik hissedersiniz.Bulanık görme:Gözlerinizde bulanıklık, kararma veya çift görme olabilir.Yavaş iyileşen yaralar:Küçük kesikler veya sıyrıklar uzun süre iyileşmeyebilir.Uyuşma ve karıncalanma:Özellikle ayaklarda uyuşma, karıncalanma veya yanma hissi olabilir.Ağızda kuruluk:Sürekli olarak ağzınızın kuruduğunu hissedersiniz."
Diz Protezi,"Diz protezi, diz eklemindeki hasarlı veya yıpranmış kıkırdak ve kemik yüzeylerinin yapay bir eklem ile değiştirilmesi işlemidir. Bu cerrahi müdahale, genellikle ileri düzey diz kireçlenmesi (osteoartrit), romatoid artrit, travmaya bağlı eklem bozulmaları ya da uzun süreli ağrı ve hareket kısıtlılığı yaşayan hastalarda uygulanır. Ameliyat sonrası ağrının azalması, hareket kabiliyetinin artması ve yaşam kalitesinin yükselmesi hedeflenir.",
Diz ve Kalça Protezi,"Kalça protezi nedirsorusunun cevabı, hasarlı kalça ekleminin yapay parçalarla değiştirilerek ağrının giderilmesi ve hareket kabiliyetinin artırılmasıdır.Kalça eklemindekireçlenme(osteoartrit), kırıklar, romatizmal hastalıklar veya avasküler nekroz gibi nedenlerle ciddi hasar oluştuğunda, ağrıyı azaltmak, hareket kabiliyetini geri kazandırmak ve yaşam kalitesini artırmak amacıylatotal kalça protezi(TKP) ameliyatı uygulanır.",
Dudak Kanseri,"Dudak kanserinin temel oluşma nedeni normal hücre döngüsünün düzensizleşmesi sonucu kontrolsüz hücre çoğalmasıdır. Bu durum genetik mutasyonlar, ultraviyole (UV) ışınlarına maruz kalma ve diğer çevresel faktörlerin etkisiyle tetiklenebilir. Anormal hücre büyümesi ve bölünmesi tümör oluşturabilir ve bu tümör dudak dokusunda kötü huylu bir lezyona dönüşebilir.",
Düşük Tansiyon,"Düşük kan basıncı veya hipotansiyon, dolaşım sistemi içindeki basıncın normalden anormal derecede düşük olduğu bir tıbbi durumdur. Çoğu durumda, normal bir kan basıncı ölçümü yaklaşık olarak 120/80 mm Hg civarındadır, ilk sayı (sistolik) kalbin kasıldığı zamanındaki basıncı temsil ederken ikinci sayı (diyastolik) kalbin atışlar arasındaki dinlenme anındaki basıncı gösterir. Hipotansiyon, kan basıncı değerlerinin normalin altına düştüğü durumlarda meydana gelir. Hipotansiyon değerleri genellikle 90/60 mm Hg veya daha düşük olabilir.","Düşük kan basıncının veya hipotansiyonun çeşitli belirtileri olabilir.Düşük tansiyon belirtilerişu şekilde sıralanabilir: Baş dönmesi: Hızla kalktığınızda özellikle başınızın dönmesi veya kararsız hissetme.Bayılma (senkop): Kan basıncının düşmesiyle sıklıkla tetiklenen ani bilinç kaybı.Bulanık görme: Noktaları görme veya tünel görüşü gibi görsel bozukluklar yaşama.Yorgunluk: Sürekli yorgunluk veya zayıflık.Mide bulantısı: Mide bulantısı hissi veya mide bulantısı yaşama.Kafa karışıklığı: Konsantre olmakta zorlanma veya net düşünmekte güçlük çekme.Hızlı veya sığ solunum: Nefes darlığı veya hızlı nefes alma.Soğuk, yapışkan cilt: Serin ve nemli his.Solgunluk: Ciltte belirgin renk kaybı.Susama: Sıvıya artan bir istek."
Egzama,"Egzama cilt kuruluğuna neden olan kaşıntılı ve zaman zaman pütürlü bir deri hastalığıdır. Dermatolojik vakalar arasında en yaygın karşılaşılan rahatsızlıktır. Kesin nedeni henüz bilinmemektedir. Atopik, kontakt, nörodermatit gibi birçok çeşidi olan egzamanın birden fazla etkeni bulunabilmektedir ancak tehlikeli bir rahatsızlık değildir. Mantar gibi candida’dan kaynaklı ve bulaşıcı değildir. Görüntü olarak hastaya rahatsızlık verebilir. Sıklıkla kuru ve soğuk havada ellerde görülür. Tespit ve tedavide bilinçli bir yaklaşım ile egzama kontrol altına alınabilir.","Derinin çevresel bir etkenden kaynaklı irrite olması sonucu oluşan egzama dermatolojik bazı semptomlara neden olur. Cilt kuruluğuKaşıntıDöküntüPullu ciltÖdemKalın cilt lekeleriKabuklanmaRenk değişimi, egzama bölgesinin koyulaşmasıCiltte hassasiyet"
El Ayak Ağız Hastalığı,"Coxsackie virüsleri, Enterovirus ailesine ait RNA içeren virüslerdir. İki ana tipi vardır: Coxsackie A ve Coxsackie B. Bu virüsler genellikle yaz ve sonbahar aylarında bulaşıcı hastalıklara neden olurlar. Coxsackie virüsleri, genellikle fekal-oral yolla veya solunum yoluyla bulaşır.",
El Titremesi,"El titremesiellerin istemsiz, ritmik, küçük hareketlerine verilen addır. Hafif düzeyde görülebileceği gibi günlük hayatı etkileyecek şiddette de olabilir. Tıbbi literatürde “tremor” olarak bilinen titreme hareketinin altında yatan birçok sebep olabilir. Titremenin şiddeti, genellikle altta yatan duruma bağlı olarak değişkenlik gösterir. Bu problem her yaştan bireyde görülebilir. Bazı el titremeleri bir süre sonra geçebilir iken bazıları kalıcıdır.",
Emboli,"Pıhtı, kanın bir yaralanma veya damar hasarı sonucunda pıhtılaşarak yoğunlaştığı bir kütledir. Bu doğal bir savunma mekanizmasıdır ve kanın normalde sıvı halde dolaştığı damarlar içinde oluşur. Yaralanma, damar hasarı veya anormal bir durumda, trombosit adı verilen hücreler yaralanma bölgesine yapışarak pıhtı oluşumunu başlatır. Pıhtılar, kan kaybını önlemek, yaralı bölgeyi korumak ve iyileşmeyi desteklemek amacıyla vücudun doğal bir savunma mekanizmasıdır. Bu pıhtılar vücut tarafından genellikle çözülüp yok edilir, ancak, pıhtı oluşumu dengesizleşirse, sağlık sorunlarına yol açabilir.","Emboli belirtileri, genellikle embolinin yerine ve büyüklüğüne bağlı olarak değişiklik gösterebilir. Yaygın olarak karşılaşılan emboli belirtileri şunlardır: Nefes Darlığı: Emboli, akciğer damarlarını tıkayarak oksijen alışverişini zorlaştırabilir, bu da nefes darlığına neden olabilir.Göğüs Ağrısı: Emboli, göğüs bölgesinde ağrı veya rahatsızlık hissine neden olabilir. Bu ağrı genellikle solunum yolları rahatsızlığı nedeni ile görülür.Hızlı Kalp Atışı: Kan akışının engellenmesi, kalbin daha hızlı atmasına neden olabilir. Hızlı kalp atışı, emboli belirtileri arasında yaygın görülen bir durumdur.Öksürük ve Kan Tükürme: Akciğer damarlarının tıkanması sonucu öksürük ve kan tükürme, emboli belirtileri arasında yer alabilir.Ani Terleme: Emboli, vücuttaki oksijen miktarının azalmasına neden olarak aniden terleme ataklarına yol açabilir.Baş Ağrısı ve Baş Dönmesi: Beyne yeterli oksijen gitmemesi durumunda baş ağrısı ve baş dönmesi gibi nörolojik belirtiler görülebilir.Morarma ve Şişlik: Bacaklardaki veya kollardaki damar tıkanıklıkları, morarma ve şişliğe neden olabilir."
Endometriozis (Çikolata Kisti),"Endometriozis nedirsorusuna kısaca; endomerriozis, kadın hastalıkları arasında yer alır. Rahim içinde yer alan endometrium tabakası, rahim dışı bir bölgeye yerleşir. Şiddetli bir ağrıya neden olur. Bu durum çikolata kisti oluşumuna yol açar. Genellikle yumurtalıklarda ve fallop tüplerinde meydana gelir. Pelvisi örten dokularda da endometriozis oluşumunun görülme ihtimali söz konusudur. Endometriozis (çikolata kisti) her yaştan kadında görülebilir. Fakat bu sağlık probleminin en sık 30 ila 40'lı yaşlardaki kadınlarda ortaya çıktığı bilinir.","Endometriozis oluşumunda genellikle regl belirtileri görülür. Kasık ağrısı, bu hastalığın en temel belirtilerinden birisi olarak bilinir. Regl dönemi her kadında farklı derecede ağrıya neden olabilir. Bazı kadınlar regl döneminde ağrı yaşamaz. Bazıları hafif bir ağrıyla süreci atlatabilirken, bazı kadınlar ise regl döneminde şiddetli bir ağrı yaşar. Fakat endometriozis (çikolata kisti) oluşumu meydana gelen kişiler, regl döneminde yaşanan ağrıdan çok daha şiddetli bir ağrı ile karşılaşır. Yumurtalıklarda kist olması yumurtaların yeterli olgunluğa erişememesine ya da azalmasına sebep olabilir.Kistin büyüklüğü kısırlık için önemli faktörlerdendir. Eğer patlarsa enfekte olmuş iç yapısını pelvik bölgeye yayarak fallop tüplerini de enfekte edebilir ve böylece bu bölgede blokaj, ağrı gibi belirtiler görülebilir. Sperm ve yumurtanın birleşme bölgesi olan fallop tüplerinde görülebilecek bu enfeksiyon hamile kalmasını zorlaştırır.Çikolata kisti zaten fertilize edilmiş yumurtaya da etki edebilir. Çikolata kistinin varlığı hormonal değişikliğe de yol açacağı için fertilize edilmiş yumurta büyüyemeyebilir, kişi düşük yaşayabilir.Yumurtalıkların çift tarafta olmasından kaynaklı çikolata kistinin olduğu taraftaki yumurtalık alınabilir ve böylece diğer yumurtalıkların sağlıklı üretimine devam edilmesi sağlanabilir."
Epilepsi,İnsan beyni düzenli olarak elektrik sinyalleri ile uyarılır. Bu uyarılar tüm vücutta dolanır.Epilepsibeynin bazı bölgelerinde meydana gelen anormal elektrik sinyalleridir. Bu sinyaller sinir hücreleri ile tüm vücuda yanlış şekilde uyarılar gönderdiği için çeşitli semptomlar oluşturur. Bu semptomlar her yaştan kişiyi etkileyebilir. Sadece çocuklarda gerçekleşebilir ya da ömür boyu devam edebilir.,
Erektil Disfonksiyon,Erektil disfonksiyon nedir? sorusuna cevap olarak cinsel ilişki için gerekli olan penis sertliğinin sağlanamaması ile karakterize bir durumdur denilebilir. Halk arasında iktidarsızlık olarak bilinen bu problemin en az altı ay süresince yaşanıyor olması tanı koyulması açısından önemli bir süredir.,
Faranjit,,"Farenjit gelişiminde rol alan ana nedene göre, boğaz ağrısı ile farklı semptomlar da gelişebilir. Enfeksiyon türüne bağlı olarak soğuk algınlığı veya grip belirtileri gibi ek belirtiler gözlemlenebilir. Temelinde yatan ana nedene göre gelişebilecek olan faranjit belirtileri aşağıdaki şekilde sıralanabilir. ÖksürükBaş ağrısıBurun akıntısıGözlerde tahrişŞişmiş bademciklerLenf düğümlerinde şişkinlikYorgunluk"
Gastrit,,"Gastrit, gelişimin ilk aşamalarında genellikle semptom göstermeyebilir ancak kronik ve şiddetli seyreden gastritler belirgin semptomlara yol açabilir. Mide astarının incelmesi veya aşınması sonucu hasar alması ile birlikte semptomlar görülmeye başlayabilir. Özellikle mide asidi sindirim sorunlarını oluşturabilir ve ülser oluşumuna katkıda bulunabilir. Gastrit belirtileri şunları kapsayabilir: Üst karın kısmında yanıcı ve kemirici ağrılar,Yemek yedikten sonra tokluk ve dolgunluk hissi,Mide bulantısı ve kusma,Şişkinlik ve kramplar,İştah kaybı ve hazımsızlık,Hıçkırık."
Genital Siğil,"Genital siğil, cinsel yolla bulaşan bir virüs olan İnsan Papillomavirüs (HPV) tarafından oluşturulan cilt lezyonlarıdır.Genital bölgede siğilortaya çıkar, cinsel temasla bulaşabilir ve bazen belirti göstermeyebilir. Tedavi edilebilirler, ancak HPV'nin bazı tipleri ciddi sağlık sorunlarına yol açabilir, bu nedenle düzenli sağlık kontrolü önemlidir.",
Gırtlak Kanseri,"Gırtlak kanseri, gırtlağın (larenksin) hücrelerinde başlayan bir tür kanserdir. Gırtlak, soluk borusu ve yemek borusu arasında yer alan ve ses tellerini içeren bir organdır. Gırtlak kanseri genellikle hava yolu üzerindeki duman ve kimyasal maddelere maruz kalma, aşırı alkol tüketimi ve tütün ürünleri kullanımı gibi risk faktörleri ile ilişkilendirilir. Erken evrelerde teşhis edilen ve tedavi edilen gırtlak kanseri vakalarında prognoz genellikle daha iyidir, ancak ileri evrelerde teşhis edilen vakalarda prognoz daha zor olabilir.",Gırtlak kanseri hızlı ilerleyen bir kanser türüdür ve hastalığın evresi ilerledikçe diğer belirtiler de kendini göstermeye başlar.Gırtlak kanseri belirtilerişunlardan oluşur: Boyun bölgesinde yara ve ağrıYutma güçlüğüÖksürükKanlı tükürük varlığı ve balgam oluşumuKulak ağrısıNefes darlığı oluşumuİştah eksikliği ve kilo kaybı görülmesiBoğazda takılma hissi
Glokom,"Göz içinde, lensi besleyen ve göz içi basıncını sağlayan bir sıvı bulunur. Bu sıvının aşırı üretilmesi veya gözden atılımının yavaşlaması durumunda göz içi basıncı yükselir. Göz içi basıncı, görme sinirinin etrafındaki dokuyu sıkıştırarak sinir hücrelerine zarar verir. Bu da görme kaybına yol açabilir. Glokom, farklı alt tiplere veya türlere ayrılabilir.Glokom türleriuzman hekimler tarafından hasta ile paylaşılır.","Göz tansiyonunun erken dönemlerinde belirtiler genellikle hissedilmez ve hastalık sessizce ilerleyebilir. Bu nedenle, göz tansiyonunun erken teşhis edilmesi için düzenli göz muayeneleri önemlidir. Ancak ilerleyen aşamalarda bazı belirtiler ortaya çıkabilir.Glokom belirtileriarasında bulanık görme, renklerde solma, göz ağrısı, gözde kızarıklık, ışığa hassasiyet ve göz kararmaları sayılabilir. İleri yaşAilede glokom öyküsüMiyopi (uzağı net görememe)DiyabetYüksek tansiyonSigara kullanımıUzun süreli kortizon kullanımı"
Guatr,"Guatr genellikle iyot eksikliğine bağlı boyunda bulunan tiroid bezinin şişmesi ve büyümesi sonucu ortaya çıkan bir rahatsızlıktır. Eğer bu büyüme dışarıdan belli oluyorsa eksternal ya da dış guatr denir ve sık görülür. Yumuşak, sert veya her ikisi de olabilirler. Bu rahatsızlık tiroid bezinin şişmesi ve genişlemesine ek olarak kilo kaybı, vücutta yorgunluk, saç dökülmesi, yüz ve ellerde şişlik ve benzeri semptomlara neden olabilir. Genellikle iyi huylu olup ağrı yapmaz. Ancak ileri derecede tiroid hormonu salgılanması sonucu meydana gelen hipertiroidi yani zehirli guatr durumunda iyot tedavisi veya cerrahi müdahale gerekebilir. Çocuklarda Hashimato tiroidi, Graves hastalığı, kolloid guatr gibi sonradan kazanılmış guatr türleri görülebilir. Guatrı genetik olarak da edinebilen çocuklar bulunur.","Guatr bazı hastalarda herhangi bir belirti vermezken çoğunlukla boyunda şişlik ile kendini gösterir.Guatr rahatsızlığı bulunan hastalardagenel olarak  yutmada güçlük yaşanması, öksürük ve nefes darlığı belirtileri görülür. Kilo almaUyuşukluk,KabızlıkHalsizlikSaç dökülmesi"
Gut Hastalığı,"Bir protein yıkım ürünü olan ürik asit, normal şartlarda böbreklerden idrar yoluyla atılır. Ürik asit miktarı normalden fazla olduğunda veya çeşitli sebeplerle vücuttan atılamadığında eklemlerde birikebilir. Fazla ürik asitin kristal olarak eklemlerde birikmesi ve iltihap oluşturması sonucu gut hastalığı oluşur.","Gut hastalığında oluşan belirtiler normal artrite benzer belirtilerdir ama dönemsel olabilir. Ürik asit bir protein yıkım ürünü olduğu için fazla protein tüketildiğinde görülen ağrılı krizler, doğru beslenildiğinde ortadan kalkabilir. Ama bu durum geçicidir ve ağrılı bir krizin tekrar gelme ihtimali olduğundan hastalığın tedavi edilmesi gerekir. Gut hastalığı belirtileri şöyle sıralanabilir: Eklem Ağrısı:Gut hastalığında en belirgin ve sık görülen belirtilerden biri şiddetli eklem ağrısı olur. Başta ayak parmakları olmak üzere, parmaklar, el bileği, ayak bileği gibi eklemler en sık ağrının görüldüğü yerlerdir.Kızarıklık ve Şişlik:Önemli miktarda iltihaplanmanın olduğu eklemlerde şişlik ve kızarıklar oluşması mümkündür. Bu şişlikler bazı durumlarda oldukça belirgin hale gelerek kişinin yaşam şartlarını olumsuz etkileyebilir.Ateş:Pek çok iltihaplı hastalıkta olduğu gibi gut hastalığında da iltihap sonrası yüksek ateş meydana gelebilir.Hareket Kısıtlanması:Hastalık ilerlediğinde ve tedavi edilmediğinde şişlikler ve ağrılar arttığı için eklemlerin hareketleri zorlaşır. Eklem hareketlerinin ağrılı bir hale gelmesi ve şişliklerin hareketi kısıtlaması söz konusu olabilir."
Güvercin Göğsü,"Güvercin göğsü nedirsorusunun kısa cevabı, göğüs kemiği ve kaburgaların öne doğru çıkıntı yapması durumudur. Bu durum, genellikle çocukluk ya da ergenlik döneminde fark edilir ve kaburgaların ve göğüs kemiğinin (sternum) anormal büyümesi sonucu ortaya çıkar. Adını, göğsün dışa doğru çıkık görünümünün güvercin göğsüne benzemesinden alır. Çoğu zaman doğuştan gelir, ancak bazı durumlarda altta yatan başka bir sağlık sorununun belirtisi de olabilir. Fiziksel rahatsızlık yaratabileceği gibi, estetik kaygılar ve psikolojik etkiler de görülebilir. Tedavi seçenekleri arasında ortopedik korseler ve cerrahi müdahaleler yer alır.","Güvercin göğsü belirtileriarasındaen belirgini, göğüs kemiğinin öne doğru çıkıntı yapmasıdır. Bu çıkıntı tek taraflı ya da simetrik olabilir ve zamanla daha belirgin hâle gelebilir. Fiziksel olarak genellikle ağrıya neden olmasa da, bazı bireylerde göğüs bölgesinde hassasiyet, nefes darlığı, egzersiz sırasında çabuk yorulma veya yorgunluk hissi görülebilir. Nadir durumlarda kalp ve akciğer fonksiyonlarını etkileyebilir. Göğüs kemiğinin (sternum) öne doğru çıkması:Bu çıkıntı genellikle kaburgaların kıkırdak kısımlarının anormal büyümesi nedeniyle oluşur.Simetrik veya asimetrik görünüm:Çıkıntı tüm göğüs ön duvarında eşit olabileceği gibi, bir tarafta daha belirgin de olabilir.Değişen şiddet:Bazı bireylerde hafif bir çıkıntı fark edilirken, bazılarında daha belirgin ve rahatsız edici olabilir.Diğer olası fiziksel bulgular:Bazı kişilerde hafif bir eğrilik veya göğüs kafesinde şekil bozukluğu da eşlik edebilir."
Hemoroid (Basur),"Hemoroid, anüs ve rektum bölgesindeki damarların şişmesi ve iltihaplanması sonucu ortaya çıkan bir tıbbi durumdur. Bu durum, iç ve dış hemoroidler olarak iki temel türde görülebilir. İç hemoroidler, rektumun içindeki damarlardaki şişmelerdir ve genellikle ağrı veya kanama gibi semptomlara yol açarlar. Dış hemoroidler ise anüs çevresindeki damarlardaki şişmelerdir ve sıklıkla şişlik ve kaşıntı gibi belirtilere neden olur. Hemoroidler genellikle kabızlık, aşırı zorlanma, gebelik veya aşırı kilo gibi nedenlerle ortaya çıkabilir.  Anüs bölgesindeki rektumun iç yüzeyindeki çatlak veya yırtık nedeniyle meydana gelenmayasılile karıştırılmamalıdır.",
